centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.25,985,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.25,704,575.4002854127973,4702.525445460848,1390.6193893198763,400402.390518176
0.25,892,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,902,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,978,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,712,978.7005299724708,4652.356719239647,1381.0289936516683,390415.0401406065
0.25,937,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,723,468.13359800464605,4953.440463351884,1355.943604817324,389945.0170896898
0.25,924,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,900,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,722,948.7396473487297,4843.300957739455,1518.9550854226284,391842.40033401304
0.25,923,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,939,885.9538661044237,3839.974398978686,1426.0599139988399,458242.4109199498
0.25,982,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,926,1118.940073578648,5550.704491853113,1713.465637689312,525956.3323925947
0.25,916,1112.6897501254457,4960.1283228162965,1692.1969459829434,523023.8618673759
0.25,970,892.2041895576258,4430.550568015502,1447.3286057052087,461174.88144516863
0.5,884,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,920,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,946,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,975,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,886,1493.991118509783,6527.217248383266,1826.4613225346939,547547.4085387569
0.5,945,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,715,1478.021605772405,7634.711336263343,1622.6312875392596,439848.9297697962
0.5,958,1482.39488166966,7942.306135086068,1868.5792424653673,555306.6396199755
0.5,696,1556.742310549726,7648.691718369623,1631.5337297093633,435908.08196988294
0.5,918,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,725,1291.8021933559678,7679.655573852274,1599.5691643241723,443555.8552069215
0.5,930,1482.39488166966,7942.306135086068,1868.5792424653673,555306.6396199755
0.5,971,1482.39488166966,7942.306135086068,1868.5792424653673,555306.6396199755
0.5,699,925.9051884463404,8235.33773618345,1553.8877690575864,438255.9128078567
0.5,731,1192.9245073756404,7751.009656743131,1586.9409436667504,443606.8952866783
0.5,708,1924.3447163452126,8885.353749337824,1905.1549020337955,480680.5437027442
0.5,894,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,740,1825.7626905424804,8033.658208662194,1521.8827068457617,416894.2738947135
0.5,726,1666.088175455836,7718.46706345731,1640.3233013060533,423416.84417052945
0.5,919,1482.39488166966,7942.306135086068,1868.5792424653673,555306.6396199755
0.5,963,1482.39488166966,7942.306135086068,1868.5792424653673,555306.6396199755
0.5,941,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,702,1478.021605772405,7634.711336263343,1622.6312875392596,439848.9297697962
0.5,905,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,921,1482.39488166966,7942.306135086068,1868.5792424653673,555306.6396199755
0.5,960,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
